Wall time,Step,Value
1543523823.845857,5,27.0
1543523823.963504,11,16.0
1543523824.0167968,14,22.0
1543523824.038891,15,31.0
1543523824.0999522,18,14.0
1543523824.2258718,24,16.0
1543523824.498175,36,26.0
1543523824.576502,40,15.0
1543523824.626494,42,62.0
1543523824.670868,44,14.0
1543523824.6906629,45,20.0
1543523824.737847,47,29.0
1543523824.849746,53,13.0
1543523824.869687,54,20.0
1543523824.886828,55,13.0
1543523824.907866,56,12.0
1543523825.129816,65,21.0
1543523825.200159,68,10.0
1543523825.2626612,71,23.0
1543523825.280958,72,19.0
1543523825.297097,73,10.0
1543523825.3153422,74,12.0
1543523825.432993,79,15.0
1543523825.611458,87,49.0
1543523825.7654011,94,33.0
1543523825.938262,102,30.0
1543523826.013479,105,21.0
1543523826.045144,106,68.0
1543523826.2000902,113,15.0
1543523826.326884,118,40.0
1543523826.527829,126,13.0
1543523826.59776,129,32.0
1543523826.62229,130,32.0
1543523826.8435829,139,37.0
1543523826.900278,141,42.0
1543523826.925468,142,41.0
1543523826.9443269,143,21.0
1543523827.137852,150,68.0
1543523827.244828,155,31.0
1543523827.290674,157,16.0
1543523827.310644,158,21.0
1543523827.441271,162,50.0
1543523827.578687,167,42.0
1543523827.6014788,168,32.0
1543523827.682807,171,47.0
1543523827.8627598,177,86.0
1543523827.8914728,178,56.0
1543523827.9458618,180,41.0
1543523828.040321,183,76.0
1543523828.0838542,185,28.0
1543523828.132868,186,126.0
1543523828.181354,188,21.0
1543523828.2444181,190,114.0
1543523828.274358,191,56.0
1543523828.466963,198,28.0
1543523828.7259772,206,78.0
1543523828.749223,207,34.0
1543523828.7688692,208,19.0
1543523828.8757389,212,34.0
1543523829.154815,222,79.0
1543523829.1774,223,31.0
1543523829.231683,225,30.0
1543523829.320649,229,24.0
1543523829.398962,232,94.0
1543523829.428818,233,29.0
1543523829.450952,234,29.0
1543523829.517559,237,18.0
1543523829.838648,249,14.0
1543523830.0055969,255,32.0
1543523830.075896,258,17.0
1543523830.1266031,260,55.0
1543523830.1588721,261,66.0
1543523830.206229,263,36.0
1543523830.32948,267,51.0
1543523830.42288,271,26.0
1543523830.466478,273,39.0
1543523830.620165,278,20.0
1543523831.0427892,292,99.0
1543523831.1924522,297,20.0
1543523831.211766,298,18.0
1543523831.32284,302,79.0
1543523831.343294,303,24.0
1543523831.4468439,307,28.0
1543523831.4768698,308,57.0
1543523831.53676,310,92.0
1543523831.637957,313,18.0
1543523831.776001,318,49.0
1543523831.804971,319,51.0
1543523831.829205,320,36.0
1543523831.9656472,325,16.0
1543523832.016449,326,134.0
1543523832.048568,327,64.0
1543523832.133443,330,71.0
1543523832.459959,339,113.0
1543523832.5036302,341,38.0
1543523832.7168808,347,54.0
1543523833.1323872,360,56.0
1543523833.199301,363,26.0
1543523833.3079638,367,54.0
1543523833.474656,371,46.0
1543523833.531996,373,52.0
1543523833.6641831,377,24.0
1543523833.6862552,378,29.0
1543523833.733598,379,113.0
1543523833.798193,381,49.0
1543523833.979548,386,114.0
1543523834.2005959,391,66.0
1543523834.227631,392,43.0
1543523834.706293,408,35.0
